feature,weight,mean,stddev
intercept,-77.1030019838,0,1
ret_1m,-6.57601434061,7.76185272907e-06,0.00284714642872
ret_3m,0.116657081227,2.06024012587e-05,0.00434202385131
ret_5m,2.87392208297,3.26697139535e-05,0.00533188757706
range_pct,14.7077177677,0.00234608333941,0.00310610564253
candle_return,4.065780958,-1.49655133989e-05,0.00249213808343
log_volume,27.6617465288,1.21337068088,1.10020921052
log_quote_volume,-25.2378911859,8.56766384692,3.59445594438
log_trades,-41.8192052037,2.68117867471,1.63100909606
taker_buy_ratio,-0.478798827601,0.433400649327,0.35928935457
volume_change,-5.2128610188,1.09629291587,3.06094103518
