symbol,buy_trades_3d,sell_trades_3d,total_trades_3d,buy_sell_ratio,dates_used
HOTUSDT,3411,4651,8062,0.7334,2026-05-21|2026-05-20|2026-05-19
SCUSDT,3881,4111,7992,0.9441,2026-05-21|2026-05-20|2026-05-19
SUSHIUSDT,3515,4310,7825,0.8155,2026-05-21|2026-05-20|2026-05-19
1INCHUSDT,3233,4592,7825,0.7041,2026-05-21|2026-05-20|2026-05-19
C98USDT,3914,3880,7794,1.0088,2026-05-21|2026-05-20|2026-05-19
TLMUSDT,3349,4411,7760,0.7592,2026-05-21|2026-05-20|2026-05-19
TURTLEUSDT,3826,3862,7688,0.9907,2026-05-21|2026-05-20|2026-05-19
AUCTIONUSDT,3272,4331,7603,0.7555,2026-05-21|2026-05-20|2026-05-19
REQUSDT,4431,3153,7584,1.4053,2026-05-21|2026-05-20|2026-05-19
BTTCUSDT,3818,3592,7410,1.0629,2026-05-21|2026-05-20|2026-05-19
CELOUSDT,3715,3689,7404,1.0070,2026-05-21|2026-05-20|2026-05-19
STRAXUSDT,3698,3697,7395,1.0003,2026-05-21|2026-05-20|2026-05-19
SFPUSDT,2994,4240,7234,0.7061,2026-05-21|2026-05-20|2026-05-19
CATIUSDT,3475,3671,7146,0.9466,2026-05-21|2026-05-20|2026-05-19
GLMRUSDT,3881,3137,7018,1.2372,2026-05-21|2026-05-20|2026-05-19
SYNUSDT,4055,2920,6975,1.3887,2026-05-21|2026-05-20|2026-05-19
BICOUSDT,3151,3773,6924,0.8351,2026-05-21|2026-05-20|2026-05-19
ALPINEUSDT,3190,3724,6914,0.8566,2026-05-21|2026-05-20|2026-05-19
MANAUSDT,2833,3954,6787,0.7165,2026-05-21|2026-05-20|2026-05-19
ILVUSDT,2967,3792,6759,0.7824,2026-05-21|2026-05-20|2026-05-19
RESOLVUSDT,3378,3373,6751,1.0015,2026-05-21|2026-05-20|2026-05-19
ANKRUSDT,3422,3145,6567,1.0881,2026-05-21|2026-05-20|2026-05-19
BARUSDT,3301,2879,6180,1.1466,2026-05-21|2026-05-20|2026-05-19
EGLDUSDT,2623,3511,6134,0.7471,2026-05-21|2026-05-20|2026-05-19
HIVEUSDT,3475,2494,5969,1.3933,2026-05-21|2026-05-20|2026-05-19
RVNUSDT,2900,3027,5927,0.9580,2026-05-21|2026-05-20|2026-05-19
XVSUSDT,2604,3235,5839,0.8049,2026-05-21|2026-05-20|2026-05-19
RLCUSDT,2985,2847,5832,1.0485,2026-05-21|2026-05-20|2026-05-19
GUSDT,2318,3280,5598,0.7067,2026-05-21|2026-05-20|2026-05-19
SOPHUSDT,2560,2779,5339,0.9212,2026-05-21|2026-05-20|2026-05-19
METUSDT,2537,2753,5290,0.9215,2026-05-21|2026-05-20|2026-05-19
BANDUSDT,2397,2864,5261,0.8369,2026-05-21|2026-05-20|2026-05-19
LQTYUSDT,2537,2602,5139,0.9750,2026-05-21|2026-05-20|2026-05-19
AGLDUSDT,2218,2787,5005,0.7958,2026-05-21|2026-05-20|2026-05-19
PIVXUSDT,2670,2226,4896,1.1995,2026-05-21|2026-05-20|2026-05-19
ZILUSDT,2790,2085,4875,1.3381,2026-05-21|2026-05-20|2026-05-19
IDUSDT,2518,2217,4735,1.1358,2026-05-21|2026-05-20|2026-05-19
COWUSDT,2254,2428,4682,0.9283,2026-05-21|2026-05-20|2026-05-19
BATUSDT,2411,2034,4445,1.1853,2026-05-21|2026-05-20|2026-05-19
YFIUSDT,2225,2149,4374,1.0354,2026-05-21|2026-05-20|2026-05-19
ZRXUSDT,1903,2223,4126,0.8561,2026-05-21|2026-05-20|2026-05-19
IOSTUSDT,2322,1601,3923,1.4503,2026-05-21|2026-05-20|2026-05-19
KGSTUSDT,1974,1755,3729,1.1248,2026-05-21|2026-05-20|2026-05-19
ARKUSDT,1537,1995,3532,0.7704,2026-05-21|2026-05-20|2026-05-19
WAXPUSDT,1578,1549,3127,1.0187,2026-05-21|2026-05-20|2026-05-19
BELUSDT,1661,1387,3048,1.1975,2026-05-21|2026-05-20|2026-05-19
BIGTIMEUSDT,1459,1442,2901,1.0118,2026-05-21|2026-05-20|2026-05-19
WOOUSDT,1202,1559,2761,0.7710,2026-05-21|2026-05-20|2026-05-19
ALCXUSDT,1517,1238,2755,1.2254,2026-05-21|2026-05-20|2026-05-19
LSKUSDT,1283,1336,2619,0.9603,2026-05-21|2026-05-20|2026-05-19
PUNDIXUSDT,1092,1349,2441,0.8095,2026-05-21|2026-05-20|2026-05-19
RPLUSDT,1009,1391,2400,0.7254,2026-05-21|2026-05-20|2026-05-19
ARDRUSDT,1182,1066,2248,1.1088,2026-05-21|2026-05-20|2026-05-19
POWRUSDT,773,758,1531,1.0198,2026-05-21|2026-05-20|2026-05-19
